Question,Answer,Category,Related Document,Keywords,Department,Difficulty
What is the sabbatical policy?,Employees at IC5+ and M2+ with 5+ years of service may apply for an unpaid sabbatical of 1–3 months. Applications require 3 months advance notice and VP approval. Benefits are not maintained during sabbatical. See Employee Handbook Section 9.6.,Leave,Employee Handbook,sabbatical leave policy,All,Hard
Can I donate my leave to a colleague?,OptiAgent operates a Leave Sharing Program. You may donate up to 5 days of annual leave per year to a colleague facing a medical emergency via the Leave Sharing Request in Workday. See Leave Policy Section 12.,Leave,Leave Policy,leave sharing donate colleague,All,Medium
What is the marriage leave entitlement?,Employees receive 3 days paid leave for their own wedding. This leave must be applied at least 2 weeks in advance (except in exceptional circumstances). Applicable once during employment at OptiAgent. See Leave Policy Section 8.,Leave,Leave Policy,marriage leave wedding days,All,Easy
What is the policy for jury duty or civic leave?,"USA employees on jury duty receive full pay for up to 10 days. UK employees are entitled to time off for jury service; OptiAgent pays the difference between jury allowance and regular salary. India, Germany, Singapore: applicable civic obligations are handled case by case. See Leave Policy Section 9.",Leave,Leave Policy,jury duty civic leave,All,Medium
How do I request time off for religious observance?,Apply for annual leave in Workday. If you need additional accommodation for religious observance beyond your annual leave entitlement discuss it with your HRBP. OptiAgent makes reasonable accommodations for religious holidays. See Employee Handbook Section 3.4.,Leave,Employee Handbook,religious observance time off,All,Medium
What is the policy on flexible working hours?,Employees may flex their start and end times by up to 2 hours around the core hours (10 AM – 3 PM) with manager agreement. Formal flexible working arrangements (part-time, compressed week) must be agreed in writing. See Employee Handbook Section 8.3.,General,Employee Handbook,flexible working hours flexi,All,Easy
Can I work part-time?,Part-time working arrangements are available at manager and HR discretion. They must be formalized via a contract amendment. Part-time employees receive pro-rated salary, leave, and benefits. Apply at least 4 weeks in advance via your HRBP.,General,Employee Handbook,part-time working,All,Medium
What is the policy on overtime for salaried employees?,Salaried employees (exempt in the USA) are not paid for overtime as a general rule. In Germany the Arbeitszeitgesetz applies and overtime must be compensated. Where local law requires overtime pay HR will ensure compliance. See Employee Handbook Section 8.5.,General,Employee Handbook,overtime salaried employees,All,Medium
What is the company's alcohol and drug policy?,OptiAgent maintains a drug and alcohol-free workplace. Employees must not be under the influence of alcohol or controlled substances during work hours or on company premises. Violations may result in immediate dismissal. See Employee Handbook Section 10.4.,General,Employee Handbook,alcohol drug policy workplace,All,Easy
What is the smoking policy?,Smoking and vaping are prohibited inside all OptiAgent offices and within 10 metres of office entrances. Designated outdoor smoking areas are provided at some offices. See Employee Handbook Section 10.5.,General,Employee Handbook,smoking policy vaping,All,Easy
What is the social media policy?,Employees may use personal social media but must not share confidential company information, disparage OptiAgent or colleagues, or represent personal opinions as company positions. Tag posts involving company matters as personal views. See Employee Handbook Section 11.,General,Employee Handbook,social media policy,All,Easy
Can I talk to the press or media about OptiAgent?,No. All media inquiries must be directed to the Communications and PR team at comms@optiagent.com. Employees must not make statements to media, journalists, or public forums on behalf of OptiAgent without prior approval. See Employee Handbook Section 11.3.,General,Employee Handbook,media press communications,All,Medium
What do I do in a fire emergency?,Proceed calmly to the nearest fire exit. Do not use lifts. Assemble at the designated fire assembly point for your building (posted on exit signs). Do not re-enter until told to do so by Facilities or emergency services. See Employee Handbook Section 18.,Safety,Employee Handbook,fire emergency evacuation,All,Easy
Where can I find first aid in the office?,First aid kits are located at the reception desk and in the kitchen area on each floor. Lists of trained first aiders for each floor are posted on notice boards and available from the Facilities team. See Employee Handbook Section 18.2.,Safety,Employee Handbook,first aid kit office,All,Easy
What is the policy on workplace violence?,Threats or acts of violence including verbal threats, physical assault, or harassment of any kind will result in immediate termination and potential criminal charges. Report any concerns to Security or HR immediately. See Employee Handbook Section 3.3.,Safety,Employee Handbook,workplace violence threats,All,Easy
How do I get a visitor access badge?,Contact the Facilities team at facilities@optiagent.com at least 24 hours in advance. The visitor must sign in at reception and will be issued a temporary badge. They must be escorted at all times in secure areas. See Company Policy Section 11.1.,Security,Company Policy,visitor badge access,All,Easy
What is the process for internal job transfers?,Open positions are posted on the internal job board in Workday. Employees may apply after completing a minimum of 12 months in their current role. Notify your current manager before applying. See Employee Handbook Section 14.4.,Career,Employee Handbook,internal transfer job posting,All,Easy
How do I request a salary review outside of the annual cycle?,Out-of-cycle salary adjustments require VP+ approval and must be justified by market data or significant scope change. Submit the request to your HRBP with supporting documentation. These are rare and not guaranteed. See Employee Handbook Section 12.1.,Compensation,Employee Handbook,salary review out of cycle,All,Hard
What is the relocation assistance policy?,OptiAgent provides relocation assistance for new hires and internal transfers requiring a city or country change. Assistance includes a one-time payment (IC1–IC3: USD 3000; IC4+: USD 6000) and 3 months of temporary accommodation support for international moves. See Employee Handbook Section 12.6.,Compensation,Employee Handbook,relocation assistance,All,Medium
What is the company's equal opportunity policy?,OptiAgent is an equal opportunity employer. We do not discriminate on the basis of race, gender, age, religion, disability, sexual orientation, or any other protected characteristic. See Employee Handbook Section 3.1 and our EEO statement at careers.optiagent.com.,Ethics,Employee Handbook,equal opportunity EEO discrimination,All,Easy
How do I request a disability accommodation?,Contact your HRBP or email hr.global@optiagent.com to initiate a reasonable accommodation request. HR will work with you and your manager in an interactive process to determine appropriate accommodations. All discussions are kept confidential. See Employee Handbook Section 3.5.,General,Employee Handbook,disability accommodation request,All,Medium
What is the nursing/lactation room policy?,Dedicated nursing rooms are available in all major offices. Rooms are reservable via the room booking tool in Outlook. For remote employees nursing breaks are accommodated flexibly. Contact Facilities for room locations. See Employee Handbook Section 10.6.,General,Employee Handbook,nursing lactation room,All,Easy
Can I bring my pet to the office?,Pets are permitted in the San Francisco office on designated Pet-Friendly Fridays (first Friday of each month) subject to the Pet Policy (no aggressive breeds, up-to-date vaccinations required, pet must be leashed). Other offices do not currently permit pets. Contact Facilities for details.,General,Employee Handbook,pet policy office,All,Easy
What is the policy on employee personal relationships at work?,Relationships between employees are permitted but must be disclosed to HR if there is a direct reporting relationship to avoid conflicts of interest. Intimate relationships between a manager and their direct report require one party to transfer to another team. See Employee Handbook Section 3.6.,General,Employee Handbook,personal relationships work,All,Medium
How is performance improvement handled?,If your performance is not meeting expectations your manager will initiate a Performance Improvement Plan (PIP) in Workday. A PIP runs for 60–90 days with clear goals. Successful completion returns you to normal performance management. Unsuccessful completion may result in termination. See Employee Handbook Section 13.6.,Performance,Employee Handbook,performance improvement plan PIP,All,Hard
What is the severance policy?,Severance for involuntary termination (non-misconduct) is governed by local law minimums. OptiAgent provides a severance package of 1 week per completed year of service in the USA (minimum 2 weeks). Other countries follow local legal requirements. See Employee Handbook Section 20.5.,General,Employee Handbook,severance pay termination,All,Hard
How are layoffs handled?,In the event of a redundancy/layoff OptiAgent will follow applicable laws in each country including consultation requirements (UK, Germany). Affected employees receive advance notice, severance, extended benefits, and outplacement support. See Employee Handbook Section 20.6.,General,Employee Handbook,layoff redundancy,All,Hard
What is the difference between redundancy and termination for cause?,Redundancy (reduction in force) occurs when a role is eliminated for business reasons — no fault of the employee. Termination for cause involves a conduct or performance issue. Notice and severance terms differ significantly. See Employee Handbook Section 20.,General,Employee Handbook,redundancy vs termination cause,All,Hard
Who approves a PIP?,PIPs must be approved by the HRBP and the manager's manager before being issued. HR drafts the PIP template. The employee's signature acknowledges receipt (not necessarily agreement). See Employee Handbook Section 13.6.,Performance,Employee Handbook,PIP approval,All,Medium
What is the OptiAgent mentorship program?,The MentorConnect program runs twice per year (February and August cohorts). It pairs employees seeking career development with senior mentors from across the company. Duration: 6 months. Apply via the L&D Portal. See Employee Handbook Section 15.5.,Learning,Employee Handbook,mentor program MentorConnect,All,Easy
What engineering certifications does OptiAgent support?,OptiAgent supports certifications in cloud platforms (AWS, GCP, Azure), Kubernetes, security (CISSP, CISM, CEH), data engineering, and AI/ML. Costs are covered by the learning budget. Engineering-specific certifications may receive additional budget allocation — check with your HRBP. See Employee Handbook Section 15.4.,Learning,Employee Handbook,certifications engineering cloud,Engineering,Easy
What happens to unvested stock options when I resign?,Unvested stock options are forfeited upon resignation. Vested options must be exercised within 90 days of your last day or they will expire. See your individual stock option agreement and contact equity@optiagent.com for your balance.,Compensation,Employee Handbook,stock options resignation unvested,All,Hard
Can I expense my home office setup?,Remote employees (designated full remote) may expense up to USD 500 one-time for home office equipment (chair, desk, monitors, peripherals). Submit via Workday with receipts. See Employee Handbook Section 12.7.,Finance,Employee Handbook,home office expense setup,All,Easy
Is there a tuition reimbursement program?,Yes. OptiAgent reimburses tuition for job-related degree programs at accredited universities up to USD 5250 per calendar year (USA; tax-free limit). Employees must remain with OptiAgent for 12 months post-completion or repay the reimbursement on a sliding scale. See Employee Handbook Section 15.6.,Learning,Employee Handbook,tuition reimbursement degree,All,Medium
What is the company gym or wellness benefit?,All employees receive a monthly wellness allowance of USD 50/month (or local equivalent) for gym memberships, fitness apps, or wellness activities. Reimbursed via Workday Expense. Some offices have on-site gyms. See Employee Handbook Section 6.8.,Benefits,Employee Handbook,gym wellness benefit allowance,All,Easy
Are there childcare benefits?,USA employees may participate in the Dependent Care FSA (DCFSA) to set aside up to USD 5000 pre-tax for childcare. Some offices have access to a childcare referral service via the EAP. See Employee Handbook Section 6.5.,Benefits,Employee Handbook,childcare benefits FSA,USA,Medium
How do I claim the commuter benefit (USA)?,USA employees may participate in the CommuterBenefit program to set aside pre-tax dollars for transit and parking (up to IRS limits per month). Enroll or update elections in Workday > Benefits > Commuter Benefits.,Benefits,Workday,commuter benefit transit USA,USA,Easy
How do I get my ISO 27001 or SOC 2 certification details for a customer query?,Direct customer compliance questions to the Security team at security.compliance@optiagent.com. The SOC 2 Type II report is available under NDA to customers. ISO 27001 certificate can be shared with customers directly. See Company Policy Section 3.1.,Security,Company Policy,ISO 27001 SOC2 compliance,Sales,Medium
What should I do if a customer asks for a data processing agreement (DPA)?,Forward the request to legal.compliance@optiagent.com. The Legal team manages all DPA negotiations. Do not agree to DPA terms without Legal review. See Company Policy Section 15.,Legal,Company Policy,DPA data processing agreement,Sales,Medium
What is the conflict of interest declaration process?,Fill in the Conflict of Interest Disclosure form in Workday annually (and ad-hoc when a new conflict arises). Your HRBP reviews disclosures. See Employee Handbook Section 16.,Ethics,Employee Handbook,conflict of interest declaration,All,Easy
Can I have equity or stock in a competitor company?,Owning publicly-traded stock in a competitor does not generally constitute a conflict of interest unless it is a material holding. Ownership of >1% of a competitor's shares or any private equity stake in a competitor must be disclosed. See Employee Handbook Section 16.1.,Ethics,Employee Handbook,stock equity competitor conflict,All,Hard
What records do I need to retain from customer meetings?,Notes and agreed actions from customer meetings should be logged in Salesforce (CRM). Formal agreements and proposals must be filed in SharePoint. Personal notes and informal records should not be stored on personal devices. See Company Policy Section 14 and Employee Handbook Section 19.,Data,Company Policy,records retention customer meetings,Sales,Medium
What is the Records Retention schedule?,Records retention periods vary by type. Key examples: personnel files 7 years; financial records 7 years; customer contracts 7 years after expiry; security logs 3 years; board minutes permanent. See Company Policy Section 14 for the full table.,Data,Company Policy,records retention schedule,All,Medium
How do I handle a customer asking for our internal employee data?,Under no circumstances should employee personal data be shared with customers. Refer all such requests to the Privacy team (privacy@optiagent.com). This would constitute a GDPR breach if the data involves EU/UK individuals. See Company Policy Section 15.,Data,Company Policy,customer employee data GDPR,All,Hard
What is the policy for international data transfers?,International transfers of personal data from the EU/UK to countries outside the EEA require adequate safeguards (Standard Contractual Clauses, adequacy decision, or Binding Corporate Rules). Contact the Privacy team before transferring data internationally. See Company Policy Section 15.,Data,Company Policy,international data transfer EU GDPR,All,Hard
What is the process for issuing a legal hold?,Legal holds are issued by the Legal team when litigation or investigation is anticipated. Employees in scope receive a formal Legal Hold Notice. You must preserve all documents, emails, and data related to the hold. Do not delete anything. See Company Policy Section 6.3.,Legal,Company Policy,legal hold document preservation,Legal,Hard
How is customer PII handled?,Customer PII must be handled in accordance with the Restricted data classification controls: encrypted at rest and in transit, access on a need-to-know basis only, no transfer to personal devices. See Company Policy Section 8.1.,Data,Company Policy,customer PII handling,All,Medium
Can I work in a coffee shop or public place?,Yes but you must use the company VPN at all times on unsecured Wi-Fi networks. Do not work on classified or confidential documents in public places where screens may be visible. Lock your screen when stepping away. See Employee Handbook Section 9.5.,Security,Employee Handbook,work public coffee shop VPN,All,Easy
What travel insurance does OptiAgent provide for business travel?,All employees travelling on company business are covered by the OptiAgent Business Travel Insurance policy (via Allianz). Coverage includes medical emergencies, trip cancellation, lost luggage, and evacuation. Register your trip in Egencia to activate coverage. See Employee Handbook Section 12.8.,Benefits,Employee Handbook,travel insurance business,All,Easy
Do I need a work visa to travel to another country for meetings?,For short-term business visits (under 30 days) a business visa or visa-waiver may be applicable depending on your nationality and destination. Always check with the Legal/Mobility team (mobility@optiagent.com) before booking international travel. OptiAgent will not be liable for immigration violations due to employee failure to obtain proper authorizations.,General,Employee Handbook,work visa business travel,All,Hard
What is the compassionate leave policy?,Compassionate leave covers bereavement. See the Bereavement Leave section of the Leave Policy (HR-LP-001) Section 6. In exceptional circumstances additional unpaid leave may be granted at manager and HRBP discretion.,Leave,Leave Policy,compassionate bereavement leave,All,Easy
What is the overtime policy in India?,India employees are governed by the applicable state Shops and Establishments Act. Overtime beyond 9 hours per day or 48 hours per week must be compensated at twice the ordinary rate. IT/ITES employees in Karnataka are subject to the Karnataka Shops and Establishments Act. See Employee Handbook Section 8.2.,General,Employee Handbook,overtime India Shops Establishments,India,Hard
What is the notice period in India?,India: IC1–IC3: 30 days; IC4+: 60 days; M2+: 90 days. The contract governs. Garden leave may be applied at company discretion. See Employee Handbook Section 20.2 and your employment contract.,General,Employee Handbook,notice period India,India,Easy
What is the notice period in Germany?,Germany: Statutory minimum notice per § 622 BGB scales from 4 weeks (0–2 years) to 7 months (20+ years). OptiAgent generally aligns with these statutory minimums unless the contract specifies longer notice for senior roles. See Employee Handbook Section 20.2.,General,Employee Handbook,notice period Germany Kuendigungsfrist,Germany,Medium
What are the data privacy rights of employees in Germany?,Germany has strong employee data protection rights under the BDSG (Bundesdatenschutzgesetz) and GDPR. Employees have the right to access, correct, and delete personal data. Works council agreements (Betriebsvereinbarungen) may govern specific processing activities like IT monitoring. See Company Policy Section 2.4 and 15.,Data,Company Policy,employee data rights Germany BDSG,Germany,Hard
Is there a works council at OptiAgent Germany?,OptiAgent Germany does have a Betriebsrat (Works Council). Employees may contact the Works Council on matters of workplace conditions, monitoring, and collective policies. The Works Council must be consulted on certain HR matters per the BetrVG (Works Constitution Act).,General,Employee Handbook,works council Betriebsrat Germany,Germany,Hard
What is the tax treatment of RSUs?,RSUs (Restricted Stock Units) are taxed as ordinary income at the time of vesting in most countries. Tax treatment varies: USA (W-2 income), UK (income tax + NI), India (perquisite tax), Germany (Lohnsteuer). Contact equity@optiagent.com for your specific situation.,Compensation,Salary Grades,RSU tax treatment,All,Hard
How are annual salary increases determined?,Annual salary increases (merit increases) are determined during the H2 performance cycle (January) based on your performance rating, position in salary band, and market data. Increases range from 0% (Needs Improvement) to 12%+ (Outstanding). See Salary Grades (HR-SG-001) Sheet 3.,Compensation,Salary Grades,salary increase merit annual,All,Medium
What is the meal reimbursement for late-night work?,Employees required to work past 9:00 PM due to a business need may claim a meal reimbursement of up to USD 25 (or local equivalent) per occurrence. Requires manager approval and a receipt. Submit via Workday Expense. See Employee Handbook Section 12.3.,Finance,Employee Handbook,late night meal reimbursement,All,Easy
Is there a policy on mobile phone use while driving for business?,Use of mobile phones while driving company vehicles or during business trips is prohibited unless a hands-free system is used. This applies even where local law may not prohibit it. Violation is a disciplinary matter. See Employee Handbook Section 18.4.,Safety,Employee Handbook,mobile phone driving safety,All,Easy
What is the policy on workplace surveillance / monitoring?,OptiAgent monitors network traffic and device activity for security purposes. Physical CCTV is installed in common areas. Monitoring is conducted lawfully and disclosed in this document and your employment contract. See Company Policy Section 2.4 and 15.2.,Security,Company Policy,surveillance monitoring CCTV,All,Medium
Can I access work systems from a personal cloud storage account?,No. Company data must not be stored in personal cloud storage (personal Google Drive, iCloud, personal Dropbox, etc.). Use company-provisioned storage: SharePoint, OneDrive for Business, or designated project repositories. See Company Policy Section 8.,Data,Company Policy,personal cloud storage policy,All,Easy
What happens if I breach the AI usage policy?,Breaches of the AI Usage Policy are treated as a security or data policy violation and subject to disciplinary action up to and including termination. Accidental disclosure of Restricted data to an AI tool requires immediate incident reporting. See Company Policy Section 12 and 16.2.,IT,Company Policy,AI policy breach consequence,All,Medium
What is the company policy on use of open-source software?,Open-source software usage in company products must be approved by the Engineering and Legal teams. License compatibility review is required (GPL, AGPL, etc. may impose open-sourcing obligations). Use of approved open-source libraries in internal tools is permitted. See Employee Handbook Section 19.3.,IT,Employee Handbook,open source software policy,Engineering,Hard
What is the Software Development Lifecycle (SDLC) security policy?,All code must pass static analysis (SAST) and dependency vulnerability scanning (SCA) before merge. Production deployments require peer review and approval. Security testing is required for customer-facing features. See Company Policy Section 3 and engineering runbooks.,Security,Company Policy,SDLC security code review,Engineering,Hard
How do I report a workplace safety hazard?,Report immediately to your Facilities contact or via the Safety Reporting form on the HR Portal. For life-threatening hazards evacuate the area and call emergency services first. See Employee Handbook Section 18.1.,Safety,Employee Handbook,safety hazard report,All,Easy
What PPE (Personal Protective Equipment) is provided?,PPE is provided for roles that require it (data center technicians, facilities staff, etc.). Contact the Facilities team for your specific requirements. See Employee Handbook Section 18.3.,Safety,Employee Handbook,PPE personal protective equipment,All,Easy
How do I update my emergency contact information?,Log in to Workday > My Profile > Emergency Contacts. You can add or update contacts there. It is recommended to keep this information current at all times. See Onboarding Process (HR-OP-001) Section 4.5.,General,Workday,emergency contact update,All,Easy
Who approves my expense reports?,Your direct manager approves expense reports in Workday. For amounts over USD 1000 your manager's manager must also approve. Finance final processing occurs after approvals are complete. See Employee Handbook Section 12.2.,Finance,Employee Handbook,expense report approval,Finance,Easy
What is the policy on accepting hospitality from vendors?,Hospitality (meals, events, gifts) from vendors must be disclosed via the Gift & Hospitality Register if the estimated value exceeds USD 50. Invitations to vendor events (conferences, sporting events) valued above USD 150 require HRBP and manager approval. See Employee Handbook Section 16.3.,Ethics,Employee Handbook,vendor hospitality gifts,All,Medium
Can I publish a research paper or article about work I do at OptiAgent?,Academic publications and public articles describing your work must be reviewed and approved by Legal and your department head before submission. Do not include proprietary algorithms, internal data, or trade secrets. Allow 3 weeks for review. See Employee Handbook Section 16.5.,Ethics,Employee Handbook,research paper publication,Engineering,Hard
What is the policy on side projects using OptiAgent IP?,Any project developed using OptiAgent time, resources, or confidential knowledge is considered company property per the PIIA agreement. Personal side projects developed entirely on personal time and resources with no relation to OptiAgent's business are permitted with disclosure to HR.,Ethics,Employee Handbook,side project IP ownership,Engineering,Hard
What is the grievance procedure?,If you have a workplace grievance raise it informally with your manager first. If unresolved escalate to your HRBP. For formal grievances submit a written complaint to hr.global@optiagent.com. A formal investigation will be conducted within 10 business days. See Employee Handbook Section 3.7.,General,Employee Handbook,grievance procedure complaint,All,Medium
How is the disciplinary process structured?,"The disciplinary process follows: verbal warning (documented), written warning, final written warning, termination. The severity of the step depends on the nature of the infraction. Gross misconduct may result in immediate dismissal without prior warnings. See Employee Handbook Section 20.1.",General,Employee Handbook,disciplinary process warning,All,Medium
What constitutes gross misconduct?,Gross misconduct examples: theft, fraud, deliberate data breach, physical violence, serious harassment, substance abuse on premises, deliberate violation of IT security policy. Gross misconduct may result in immediate termination without notice. See Employee Handbook Section 20.1.,General,Employee Handbook,gross misconduct termination,All,Hard
Is there a non-compete clause in my contract?,Some roles include a non-compete clause preventing you from joining a direct competitor for 6–12 months after leaving OptiAgent. Review your individual employment contract or contact legal.compliance@optiagent.com for clarification. Enforceability varies by jurisdiction.,Legal,Employee Handbook,non-compete clause,All,Hard
What is the non-solicitation clause?,Employees agree not to solicit OptiAgent employees or customers to join or do business with a competitor for 12 months after leaving OptiAgent. See your employment contract and Employee Handbook Section 20.7.,Legal,Employee Handbook,non-solicitation clause,All,Hard
Can I work for OptiAgent as a contractor or consultant after I resign?,Former employees may be engaged as contractors after a 6-month cooling-off period and with VP and Legal approval. They must not work on projects they had direct involvement in. Contact legal.compliance@optiagent.com.,Legal,Employee Handbook,contractor after resignation,All,Hard
What is the expense limit for client entertainment?,Client entertainment requires manager pre-approval and a documented business purpose. Limit: USD 100 per person per meal. Gifts to clients: USD 75 limit. Any entertainment involving alcohol requires Director+ approval and must follow anti-bribery rules. See Employee Handbook Section 12.3.,Finance,Employee Handbook,client entertainment expense limit,Sales,Medium
How do I get a corporate credit card?,Corporate credit cards are issued to IC5+ employees and all managers (M1+) and to employees who travel frequently. Apply via Finance (finance.ap@optiagent.com). Cards are for business use only and must be reconciled monthly in Workday. See Employee Handbook Section 12.9.,Finance,Employee Handbook,corporate credit card,Finance,Medium
What is the process for a probation review?,Your manager will schedule informal check-ins at Day 30 and Day 60. At Day 90 a formal probation review is conducted. If performance is satisfactory a confirmation letter is issued via Workday. See Onboarding Process (HR-OP-001) Section 10.,Onboarding,Onboarding Process,probation review confirmation,All,Easy
Who do I contact if Workday is not working?,Contact the IT Helpdesk at it.help@optiagent.com or via ServiceNow. Workday outages are tracked on the IT Status page (status.optiagent.com). See Employee Handbook Section 5 (Internal Contacts).,IT,Employee Handbook,Workday down not working,IT Operations,Easy
What is the IT Asset Return process when I leave?,You must return all company equipment (laptop, phone, access card, YubiKey, monitors, etc.) to your local IT team on or before your last day. IT will issue a receipt. Failure to return equipment may result in deduction from final settlement. See Employee Handbook Section 20.4.,IT,Employee Handbook,return equipment offboarding,IT Operations,Easy
What is the policy for using personal GitHub accounts for company code?,Company code must reside in the OptiAgent GitHub organization (github.com/optiagent). Using personal GitHub accounts for company code is prohibited. Contact DevSecOps if you need access to a specific repository. See Company Policy Section 2.3.,IT,Company Policy,GitHub code personal account,Engineering,Medium
Can I use USB drives on my company laptop?,USB storage devices are disabled by endpoint policy on company laptops. If you require a USB drive for a legitimate business reason submit a request to IT Security for a company-issued encrypted USB. See Company Policy Section 2.3.,IT,Company Policy,USB drive policy,All,Easy
What is the company's stance on AI-generated code in production?,AI-generated code is permitted with mandatory human code review and security scanning per the engineering SDLC process. The reviewing engineer is accountable for AI-generated code. No AI-generated code may be deployed to production without a completed code review. See Company Policy Section 12.4.,IT,Company Policy,AI generated code review production,Engineering,Medium
What should I do if I discover a security vulnerability in our product?,Report it immediately to security@optiagent.com and your manager. Use the Security Incident form in ServiceNow. Do not attempt to exploit or document the vulnerability beyond what is needed to report it. See Company Policy Section 9.,Security,Company Policy,security vulnerability disclosure,Engineering,Medium
Is there a bug bounty program?,OptiAgent operates an external bug bounty program via HackerOne. Internal employees are not eligible to participate in the bug bounty program. Internal security disclosures should be made via the Security Incident process. See Company Policy Section 9.,Security,Company Policy,bug bounty program,Engineering,Medium
What learning content is available for AI and machine learning?,The L&D Portal includes curated paths for: ML Fundamentals (Coursera), LLM Engineering (DeepLearning.AI), AI Ethics (LinkedIn Learning), and OptiAgent's internal AI Platform training. External AI/ML courses also qualify for the learning budget. See Employee Handbook Section 15.,Learning,Employee Handbook,AI machine learning training,Engineering,Easy
How do I access the internal Confluence knowledge base?,Confluence is accessible via the Okta dashboard (login.optiagent.com). All employees have read access; write access requires a request via ServiceNow. Engineering teams maintain their own Confluence spaces. See IT Helpdesk for access issues.,IT,Workday,Confluence knowledge base access,All,Easy
What is the company's policy on personal use of company software licenses?,Company software licenses (Adobe, Figma, GitHub, etc.) are for business use only. Personal use is not permitted. Some licenses (like LinkedIn Learning) are available 24/7 for both professional development and personal learning. See Company Policy Section 2.2.,IT,Company Policy,software license personal use,All,Easy
What is the policy on end-of-year carry-forward requests for Germany?,Germany employees must take their full annual leave entitlement within the calendar year. Under the Bundesurlaubsgesetz leave carried forward beyond March 31 of the following year is generally forfeited unless medical certification prevents taking leave. See Leave Policy Section 8.4.,Leave,Leave Policy,carry forward Germany Bundesurlaubsgesetz,Germany,Hard
How do I apply for parental leave in Singapore?,Singapore parental leave is governed by the Child Development Co-Savings Act. Notify HR at least 3 months before expected delivery. Submit your leave request in Workday. Government-paid leave claims are processed via GPPL. See Leave Policy Section 7.7.,Leave,Leave Policy,parental leave Singapore,Singapore,Medium
What is the Creche / Childcare reimbursement for India employees?,India employees may claim a tax-exempt reimbursement of up to INR 1200/month for childcare expenses at a registered creche or daycare facility. Submit receipts via Workday > Expense > Childcare Reimbursement. See Employee Handbook Section 6.5.,Benefits,Employee Handbook,creche childcare India reimbursement,India,Medium
What is the gratuity policy in India?,India employees are entitled to gratuity under the Payment of Gratuity Act after 5 years of continuous service. Gratuity is calculated as: 15 days salary for each completed year of service. OptiAgent administers gratuity via a Group Gratuity Trust. See Employee Handbook Section 6.3 (India).,Benefits,Employee Handbook,gratuity India payment,India,Medium
What is the LTA benefit in India?,Leave Travel Allowance (LTA) is a tax-exempt component of the CTC for India employees. LTA can be claimed twice in a 4-year block for domestic travel within India. Submit travel bills via Workday during the LTA claim window (November–December). See Employee Handbook Section 6.9.,Benefits,Employee Handbook,LTA leave travel allowance India,India,Medium
What is the HRA policy in India?,House Rent Allowance (HRA) is a component of the India CTC. Tax exemption on HRA is calculated per Income Tax Act rules. To claim HRA exemption submit rent receipts to payroll@optiagent.com by January 15 each year. See Employee Handbook Section 11.4 (India Tax).,Payroll,Employee Handbook,HRA house rent allowance India,India,Medium
What is the cycle-to-work scheme (UK)?,UK employees can participate in the Cycle to Work scheme to purchase a bike and safety equipment tax-efficiently. Apply via the Benefits Portal in Workday during Open Enrollment. See Employee Handbook Section 6.3 (UK).,Benefits,Employee Handbook,cycle to work UK,UK,Easy
What private medical insurance does OptiAgent offer in the UK?,UK employees are covered by BUPA private medical insurance with dental and optical add-ons available. The policy covers the employee; spouse/partner and dependants can be added at a subsidised premium. See Employee Handbook Section 6.3 (UK).,Benefits,Employee Handbook,private medical insurance UK BUPA,UK,Easy
What is the Kurzarbeit policy in Germany?,OptiAgent may apply for Kurzarbeit (short-time working scheme) in the event of a significant business downturn with works council agreement. This is a government-supported scheme; employees receive reduced hours and a top-up from the Bundesagentur für Arbeit. See Employee Handbook Section 8.6.,General,Employee Handbook,Kurzarbeit Germany short-time work,Germany,Hard
What is the CPF contribution for Singapore employees?,Singapore employees and OptiAgent contribute to the Central Provident Fund (CPF). Employee contribution: 20% of ordinary wages (for employees below 55). Employer contribution: 17%. CPF contributions are deducted from gross salary each month. See Employee Handbook Section 6.3 (Singapore).,Benefits,Employee Handbook,CPF Central Provident Fund Singapore,Singapore,Medium
What is the Annual Wage Supplement (AWS) in Singapore?,OptiAgent Singapore pays a 13th month Annual Wage Supplement (AWS) equivalent to one month's base salary paid in December each year. This applies to all permanent Singapore employees who have completed at least 3 months of service. See Employee Handbook Section 11.5.,Compensation,Employee Handbook,annual wage supplement AWS Singapore,Singapore,Easy
